"primary card id","trainer chinese name","subtype","規格標記","chinese text","jp text","eng text"
"cmo1u6ykq0itk5ueetdhhmuoa","全罩防守","TOOL","E","寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。","ポケモンのどうぐは、自分のポケモンにつけて使う。ポケモン1匹につき1枚だけつけられ、つけたままにする。",""
"cmo1u6ykv0its5uee1knnet7c","結晶洞窟","STADIUM","E","雙方玩家在每個自己的回合時，可使用1次，可將自己的所有【鋼】寶可夢與【龍】寶可夢各恢復「30」HP。","おたがいのプレイヤーは、自分の番ごとに1回、自分のポケモンとポケモン全員のHPを、それぞれ「30」回復してよい。",""
"cmo1u6re006dj5uee3q516zs9","真菰","SUPPORTER","I","將自己的所有寶可夢各恢復「40」HP。","自分のポケモン全員のHPを、それぞれ「40」回復する。","Heal 40 damage from each of your Pokémon."
"cmo1u6p5y02in5uee2irtnhia","鐵之防禦強化","ITEM","I","在下個對手的回合，自己的所有【鋼】寶可夢，受到對手的寶可夢招式的傷害「-30」點。（包含新上場的寶可夢。）","次の相手の番、自分のポケモン全員が、相手のポケモンから受けるワザのダメージは「-30」される。（新しく場に出したポケモンもふくむ。）","During your opponent’s next turn, all of your {M} Pokémon take 30 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.)"
"cmo1u6yks0ito5ueefkv7ugql","女學生","SUPPORTER","E","從自己的牌庫抽出2張卡。若對手剩餘獎賞卡的張數為6張・4張・2張，則再抽出2張卡。","自分の山札を2枚引く。相手のサイドの残り枚数が6枚・4枚・2枚なら、さらに2枚引く。",""
"cmo1u6r97065a5ueeebu7sth4","悠哉尾草棒","ITEM","H","這張卡只可在後攻玩家的最初回合使用。  選擇1個對手的場上寶可夢身上附加的能量，放回對手的手牌。","このカードは、後攻プレイヤーの最初の番しか使えない。相手の場のポケモンについているエネルギーを1個選び、相手の手札にもどす。",""
"cmo1u6ozl027p5uee9yirodaf","夜間擔架","ITEM","H","從自己的棄牌區選擇1張寶可夢卡或者基本能量卡，在給對手看過後加入手牌。","自分のトラッシュからポケモンまたは基本エネルギーを1枚選び、相手に見せて、手札に加える。","Put a Pokémon or a Basic Energy card from your discard pile into your hand."
"cmp2xvkih00a07ctore7sfwhk","火箭隊的催眠裝置","TOOL","I","附有這張卡的「火箭隊的寶可夢」在戰鬥場受到對手的寶可夢招式的傷害時，將使用招式的寶可夢【睡眠】。","","If the Team Rocket’s Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Team Rocket’s Pokémon is Knocked Out), the Attacking Pokémon is now Asleep."
"cmo1u6pvb03qa5ueeo3raj1fd","玻璃喇叭","ITEM","H","這張卡只有在自己的場上有「太晶」寶可夢時才可使用。    選擇最多2隻自己的備戰區的【無】寶可夢，從棄牌區附給那些寶可夢各1張基本能量卡。","このカードは、自分の場に「テラスタル」のポケモンがいるときにしか使えない。自分のベンチのポケモンを2匹まで選び、トラッシュから基本エネルギーを1枚ずつつける。","You can use this card only if you have any Tera Pokémon in play.  Choose up to 2 of your Benched {C} Pokémon and attach a Basic Energy card from your discard pile to each of them."
"cmo1u6q0c03z05ueeznsbp5r3","烏栗","SUPPORTER","H","這張卡從2種效果中選擇1種使用。     ◆將自己的戰鬥寶可夢與備戰寶可夢互換。     ◆在這個回合，自己的寶可夢使用的招式，對對手的戰鬥場的「寶可夢【ex】・【V】」造成的傷害「+30」點。","このカードは、2つの効果から1つを選んで使う。◆自分のバトルポケモンをベンチポケモンと入れ替える。◆この番、自分のポケモンが使うワザの、相手のバトル場の「ポケモンex・V」へのダメージは「+30」される。","Choose 1:    • Switch your Active Pokémon with 1 of your Benched Pokémon.  • During this turn, attacks used by your Pokémon do 30 more damage to your opponent’s Active Pokémon {ex} and Active Pokémon {V} (before applying Weakness and Resistance)."
"cmo1u6o2500nj5ueems58xdht","厲害釣竿","ITEM","G","從自己的棄牌區選擇寶可夢卡與基本能量卡合計最多3張，在給對手看過後放回牌庫並重洗。","自分のトラッシュからポケモンと基本エネルギーを合計3枚選び、相手に見せてから、山札にもどす。そして山札を切る。",""
"cmo1u6wxm0g0y5ueeb7xhkz8a","宮門競技場","STADIUM","D","雙方玩家在自己的回合，每次從手牌使出「寶可夢【VMAX】」完成「寶可夢【V】」的進化時，將那隻寶可夢恢復「100」HP。","おたがいのプレイヤーが、自分の番に、手札から「ポケモンVMAX」を出して「ポケモンV」を進化させるたび、そのポケモンのHPを「100」回復する。",""
"cmo1u6pzy03yc5ueemltk1nhg","硬硬束帶","TOOL","G","附有這張卡的【1階進化】寶可夢，受到對手的寶可夢招式的傷害「-30」點。","このカードをつけている1進化ポケモンが、相手のポケモンから受けるワザのダメージは「-30」される。",""
"cmo1u7eg01a4w5uees3vp21rs","高級球","ITEM","I","這張卡必須將自己的1張手牌丟棄才可使用。     從自己的牌庫選擇最多2張「未來」寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","このカードは、自分の手札を1枚トラッシュしなければ使えない。自分の山札から「未来」のポケモンを2枚まで選び、相手に見せて、手札に加える。そして山札を切る。","You can use this card only if you discard 2 other cards from your hand.  Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
"cmo1u6rbt069r5ueetpdcqrl3","奢華炸彈","TOOL","H","附有這張卡的寶可夢在戰鬥場受到對手的寶可夢招式的傷害時，在使用招式的寶可夢身上放置12個傷害指示物。然後，將這張卡丟棄。","このカードをつけているポケモンが、バトル場で相手のポケモンからワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを12個のせる。その後、このカードをトラッシュする。","If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 12 damage counters on the Attacking Pokémon. If you placed any damage counters in this way, discard this card."
"cmo1u6rbf06935ueeuukg0okx","力之沙漏","TOOL","H","在自己的回合結束時，若附有這張卡的寶可夢在戰鬥場上，則可從自己的棄牌區選擇1張基本能量卡，附於那隻寶可夢身上。","自分の番の終わりに、このカードをつけているポケモンがバトル場にいるなら、自分のトラッシュから基本エネルギーを1枚選び、そのポケモンにつけてよい。","If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), move an Energy from the Attacking Pokémon to 1 of your opponent’s Benched Pokémon."
"cmo1u6reg06ec5ueexivlmr9c","阿蜜的目光","SUPPORTER","H","在下個對手的回合，自己的所有寶可夢受到對手的寶可夢招式的傷害「-30」點。（包含新上場的寶可夢。）","次の相手の番、自分のポケモン全員が、相手のポケモンから受けるワザのダメージは「-30」される。（新しく場に出したポケモンもふくむ。）","During your opponent’s next turn, all of your Pokémon take 30 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.)"
"cmo1u6q0703ys5ueejtlz158r","派帕","SUPPORTER","G","從自己的牌庫選擇「物品」卡與「寶可夢道具」卡各1張，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札から「グッズ」と「ポケモンのどうぐ」を1枚ずつ選び、相手に見せて、手札に加える。そして山札を切る。","Search your deck for an Item card and a Pokémon Tool card, reveal them, and put them into your hand. Then, shuffle your deck."
"cmo1u6wdt0f2g5ueehf6o0qto","奇異罐頭","ITEM","D","選擇自己的1隻寶可夢，恢復「80」HP。然後，選擇1個那隻寶可夢身上附加的【超】能量，將其丟棄。（無法對身上沒有附加【超】能量的寶可夢使用。）","自分のポケモンを1匹選び、HPを「80」回復する。その後、そのポケモンについている超エネルギーを1個選び、トラッシュする。（超エネルギーがついていないポケモンには使えない。）",""
"cmo1u8ji939055ueecp53wu4o","凸凸頭盔","TOOL","G","寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。","",""
"cmo1u8jim390t5uee6rgiqv7v","滾滾濃煙","TOOL","D","寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。","",""
"cmo1u79ug127h5uee4ukkdrv5","泰姆","SUPPORTER","H","從自己的手牌選擇1張寶可夢卡，向對手宣言那隻寶可夢的名稱後，翻到反面放置。對手回答那隻寶可夢的HP。將翻到反面的寶可夢卡翻到正面，若正確，則對手從牌庫抽出4張卡。若不正確，則自己從牌庫抽出4張卡。然後，將放置的卡放回自己的手牌。","自分の手札からポケモンを1枚選び、そのポケモンの名前を相手に伝えてから、ウラにして置く。相手はそのポケモンのHPを答える。ウラにしたポケモンをオモテにして、正解なら、相手は山札を4枚引く。不正解なら、自分は山札を4枚引く。その後、置いたカードを自分の手札にもどす。","Tell your opponent the name of a Pokémon in your hand and put that Pokémon face down in front of you. Your opponent guesses that Pokémon’s HP, and then you reveal it. If your opponent guessed right, they draw 4 cards. If they guessed wrong, you draw 4 cards. Then, return the Pokémon to your hand."
"cmo1u6o1o00mu5uee8qgxafcp","傷藥","ITEM","J","選擇自己的1隻寶可夢，恢復「30」HP。","自分のポケモンを1匹選び、HPを「30」回復する。","Heal 20 damage and remove a Special Condition from your Active Pokémon."
"cmo1u6pwu03sz5ueeqdw93g4m","阿響的冒險","SUPPORTER","I","從自己的牌庫選擇「阿響的寶可夢」與「基本【火】能量」卡合計最多3張，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札から「ヒビキのポケモン」と「基本エネルギー」を合計3枚まで選び、相手に見せて、手札に加える。そして山札を切る。","Search your deck for up to 3 in any combination of Ethan’s Pokémon and Basic {R} Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."
"cmo1u6rcr06bf5ueej70egv7g","庫瑟洛斯奇的企圖","SUPPORTER","H","對手將對手自己的手牌丟棄直到變為3張為止。","相手は相手自身の手札を、3枚になるようにトラッシュする。","Your opponent discards cards from their hand until they have 3 cards in their hand."
"cmo1u6rdj06cr5ueendfosq4x","紫竽","SUPPORTER","H","將自己的手牌全部放回牌庫並重洗。然後，從牌庫抽出4張卡。若對手剩餘獎賞卡的張數為3張以下，則改爲抽出8張卡。","自分の手札をすべて山札にもどして切る。その後、山札を4枚引く。相手のサイドの残り枚数が3枚以下なら、引く枚数は8枚になる。",""
"cmo1u7eac19v25ueer5ir2ut9","奧琳博士的氣魄","SUPPORTER","G","選擇最多2隻自己的「古代」寶可夢，從棄牌區附給那些寶可夢各1張基本能量卡。然後，從自己的牌庫抽出3張卡。","自分の「古代」のポケモンを2匹まで選び、トラッシュから基本エネルギーを1枚ずつつける。その後、自分の山札を3枚引く。",""
"cmo1u6p6102ir5uee3vs6pcyl","力量蛋白飲","ITEM","I","在這個回合，自己的【鬥】寶可夢使用的招式，對對手的戰鬥寶可夢造成的傷害「+30」點。","この番、自分のポケモンが使うワザの、相手のバトルポケモンへのダメージは「+30」される。","During this turn, attacks used by your {F} Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
"cmo1u8k4s39zf5ueegi0nu110","瑪俐","SUPPORTER","D","雙方玩家各將自己的手牌全部翻回反面並重洗，放回牌庫下方。然後，從牌庫抽卡，自己抽出5張，對手抽出4張。","",""
"cmo1u8jit39155ueex0bfbbi8","聶梓","SUPPORTER","D","從自己的牌庫選擇【惡】寶可夢卡與能量卡各1張，在給對手看過後加入手牌。並且重洗牌庫。","",""
"cmo1u6yf80ik25ueeotpq70i3","除草手套","TOOL","E","附有這張卡的寶可夢使用的招式，對對手的戰鬥場的【草】寶可夢造成的傷害「+30」點。","ポケモンのどうぐは、自分のポケモンにつけて使う。ポケモン1匹につき1枚だけつけられ、つけたままにする。",""
"cmo1u6yxm0jf45ueenn48ramw","伯特與天桐與寇恩","SUPPORTER","E","從自己的牌庫選擇最多3張「匯流」寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札から「フュージョン」のポケモンを3枚まで選び、相手に見せて、手札に加える。そして山札を切る。",""
"cmo1u8jif390h5ueexymz2pug","哞哞乳酪","ITEM","D","選擇最多2隻自己的身上附有能量的寶可夢，各恢復「30」HP。","",""
"cmo1u6wxh0g0q5ueejz4vbjhb","聯盟職員","SUPPORTER","D","從自己的牌庫抽出2張卡。若場上有「宮門競技場」，則再抽出2張卡。","©Pokémon. ©Nintendo/Creatures Inc./GAME FREAK inc.ポケットモンスター・ポケモン・Pokémonは任天堂・クリーチャーズ・ゲームフリークの登録商標です。このホームページに掲載された画像その他の内容の無断転載はお断りします。",""
"cmo1u8jsk39gc5ueeciz629p1","渦輪修正檔","ITEM","D","擲1次硬幣若為正面，則從自己的棄牌區選擇1張基本能量卡，附於自己的【基礎】寶可夢（「寶可夢【GX】」 除外）身上。","",""
"cmo1u6xnl0h9m5ueetv1rkq6c","渡魂燈籠","ITEM","E","從自己的棄牌區選擇1張「一擊」支援者卡，在給對手看過後加入手牌。","©Pokémon. ©Nintendo/Creatures Inc./GAME FREAK inc.ポケットモンスター・ポケモン・Pokémonは任天堂・クリーチャーズ・ゲームフリークの登録商標です。このホームページに掲載された画像その他の内容の無断転載はお断りします。",""
"cmo1u6y4l0i1j5ueehkjiqsqe","香氛姐姐","SUPPORTER","E","從自己的牌庫抽出2張卡。然後，將自己的戰鬥寶可夢的特殊狀態全部恢復。","自分の山札を2枚引く。その後、自分のバトルポケモンの特殊状態をすべて回復する。",""
"cmo1u79nb11v75ueeegtalk18","吉尼亞","SUPPORTER","G","從自己的牌庫選擇最多2張進化寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札から進化ポケモンを2枚まで選び、相手に見せて、手札に加える。そして山札を切る。","Search your deck for up to 2 Evolution Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
"cmo1u6yps0j2d5ueezwvot86y","男學生","SUPPORTER","E","從自己的牌庫抽出2張卡。若對手剩餘獎賞卡的張數為5張・3張・1張，則再抽出2張卡。","自分の山札を2枚引く。相手のサイドの残り枚数が5枚・3枚・1枚なら、さらに2枚引く。",""
"cmo1u8jsi39g85ueebtdrbtfu","相仿鈴鐺","ITEM","D","從自己的牌庫選擇1張與自己的棄牌區的寶可夢名稱相同的寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","",""
"cmo1u6pip034j5ueeisjbx7fb","超大冰淇淋","ITEM","I","將自己的身上附有3個以上能量的戰鬥寶可夢恢復「80」HP。","エネルギーが3個以上ついている自分のバトルポケモンのHPを「80」回復する。","Heal 80 damage from your Active Pokémon that has 3 or more Energy attached."
"cmo1u6oyf025o5uee3sydmgsu","莉莉艾的決意","SUPPORTER","I","將自己的手牌全部放回牌庫並重洗。然後，從牌庫抽出6張卡。若自己剩餘獎賞卡的張數為6張，則改為抽出8張卡。","自分の手札をすべて山札にもどして切る。その後、山札を6枚引く。自分のサイドの残り枚数が6枚なら、引く枚数は8枚になる。","Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead."
"cmo1u6y9m0iac5ueemcvty49s","一擊的卷軸 貫通之卷","TOOL","E","附有這張卡的「一擊」寶可夢，可使用這張卡上寫的招式。[需要有足夠使用招式的能量。]火●●　槍彈突破　120這個招式的傷害不計算弱點・抵抗力、對手的戰鬥寶可夢身上的附加效果。","このワザのダメージは、弱点・抵抗力と、相手のバトルポケモンにかかっている効果を計算しない。",""
"cmo1u8jsr39go5ueeawm8ti96","破舊電腦","ITEM","D","擲2次硬幣，若全部為正面，則從自己的棄牌區任意選擇1張卡，在給對手看過後加入手牌。","",""
"cmo1u6o2k00o75ueefac4oipx","精靈球","ITEM","G","擲1次硬幣若為正面，則從自己的牌庫選擇1張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","コインを1回投げオモテなら、自分の山札からポケモンを1枚選び、相手に見せてから、手札に加える。そして山札を切る。",""
"cmo1u6oyk025w5uee50hu8qsz","反擊增幅器","TOOL","H","若自己剩餘獎賞卡的張數比對手剩餘獎賞卡的張數多，則附有這張卡的寶可夢使用招式所需的能量，減少1個【無】能量。","自分のサイドの残り枚数が、相手のサイドの残り枚数より多いなら、このカードをつけているポケモンがワザを使うためのエネルギーは、エネルギー1個ぶん少なくなる。","If you have more Prize cards remaining than your opponent, attacks used by the Pokémon this card is attached to cost {C} less."
"cmo1u7oz11s1f5ueeavgx2yvi","密阿雷格雷派餅","ITEM","J","將自己的戰鬥寶可夢恢復「20」HP，特殊狀態也恢復1個。","自分のバトルポケモンのHPを「20」回復し、特殊状態も1つ回復する。",""
"cmo1u8k3h39x35ueewwck3hdw","先機球","ITEM","D","這張卡必須將自己的1張手牌丟棄才可使用。 從自己的牌庫選擇1張【基礎】寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","",""
"cmo1u8jt339h85uee2vzatdff","歐尼奧","SUPPORTER","D","從自己的牌庫抽出3張卡。然後，選擇最多3張自己的手牌，將其丟棄。（一定要丟棄1張。）","",""
"cmo1u8k4839yf5ueep28ersrv","寶可夢小朋友","SUPPORTER","D","從自己的牌庫選擇1張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","",""
"cmo1u8kbp3ab15ueeep04wlzi","金屬碟","ITEM","D","從自己的棄牌區選擇1張【鋼】能量卡，附於備戰區的【鋼】寶可夢身上。","",""
"cmo1u6o2c00nv5ueesm6muz1v","寶可夢捕捉器","ITEM","G","擲1次硬幣若為正面，則選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。","コインを1回投げオモテなら、相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。",""
"cmo1u7eg91a5c5uee57whrt0h","瓢太","SUPPORTER","G","從自己的牌庫抽出2張卡。從自己的棄牌區選擇1張基本能量卡，在給對手看過後加入手牌。","自分の山札を2枚引く。自分のトラッシュから基本エネルギーを1枚選び、相手に見せて、手札に加える。",""
"cmo1u6wxj0g0u5uee69ok0dix","戰競溫泉","STADIUM","D","雙方的【基礎】寶可夢，受到對手的寶可夢招式的傷害「-20」點。","おたがいのたねポケモンが、相手のポケモンから受けるワザのダメージは「-20」される。",""
"cmo1u6xze0hsp5ueecbygcl9j","道具妨礙器","TOOL","E","寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。","ポケモンのどうぐは、自分のポケモンにつけて使う。ポケモン1匹につき1枚だけつけられ、つけたままにする。",""
"cmo1u6rc206a75uee5bnd8fhg","青木的手法","SUPPORTER","H","將自己的手牌全部丟棄，從自己的牌庫選擇「寶可夢」卡「支援者」卡「基本能量」卡各1張，在給對手看過後加入手牌。並且重洗牌庫。","自分の手札をすべてトラッシュし、自分の山札から「ポケモン」「サポート」「基本エネルギー」を1枚ずつ選び、相手に見せて、手札に加える。そして山札を切る。","Discard your hand and search your deck for a Pokémon, a Supporter card, and a Basic Energy card, reveal them, and put them into your hand. Then, shuffle your deck."
"cmo1u6y4r0i1v5uee5idx6zuw","時尚廣場","STADIUM","E","雙方玩家在每個自己的回合時，可使用1次，可選擇1張自己的場上寶可夢身上附加的「寶可夢道具」，放回手牌。","おたがいのプレイヤーは、自分の番ごとに1回、自分の場のポケモンについている「ポケモンのどうぐ」を1枚選び、手札にもどしてよい。",""
"cmo1u6xyv0hrt5ueeo3zmzv7y","連擊的卷軸 旋渦之卷","TOOL","E","寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。","相手のポケモン全員に、それぞれ30ダメージ。［ベンチは弱点・抵抗力を計算しない。］",""
