"primary card id","chinese name","pokedex id","field type","規格標記","chinese text","jp text","eng text"
"cmp2dfzku2rny116c29klt4x6","魔牆人偶","","attack","H","查看對手的手牌。若希望，選擇1張其中的支援者卡，將那個效果作為這個招式的效果使用。 | 將對手的戰鬥寶可夢【混亂】。","相手の手札を見る。のぞむなら、その中にあるサポートを1枚選び、その効果を、このワザの効果として使う。 | 相手のバトルポケモンをこんらんにする。","Your opponent’s Active Pokémon is now Confused."
"cmo1u6w5f0enp5ueeljnlujcb","其他顫弦蠑螈VMAX","0849","attack","D","若對手的戰鬥寶可夢【中毒】，則增加80點傷害。 | 寶可夢【VMAX】【氣絕】時，對手獲得3張獎賞卡。","相手のバトルポケモンがどくなら、80ダメージ追加。",""
"cmp2dgbam387r116c0u3m3f1g","波爾凱尼恩","","attack","J","擲與這隻寶可夢身上附加的【水】能量的數量相同次數的硬幣，造成正面出現的次數×90點傷害。","このポケモンについているエネルギーの数ぶんコインを投げ、オモテの数×90ダメージ。","Flip a coin for each {W} Energy attached to this Pokémon. This attack does 90 damage for each heads."
"cmo1u7zi42a3o5ueeyh21cm3u","直衝熊","0264","attack","G","這隻寶可夢也受到30點傷害。","このポケモンにも30ダメージ。","This Pokémon also does 30 damage to itself."
"cmo1u7out1ru65ueej9h608ne","君主蛇","0497","attack","J","造成自己的場上寶可夢的數量×20點傷害。 | 若自己的棄牌區有「鳴依的勉勵」，則增加150點傷害。","自分の場のポケモンの数×20ダメージ。 | 自分のトラッシュに「メイのはげまし」があるなら、150ダメージ追加。","This attack does 20 damage for each of your Pokémon in play. | If Rosa’s Encouragement is in your discard pile, this attack does 150 more damage."
"cmp2dgb6b3820116c5cjvmb5c","利歐路","","attack","I","在下個自己的回合，這隻寶可夢無法使用「加速突刺」。","次の自分の番、このポケモンは「かそくづき」が使えない。","During your next turn, this Pokémon can’t use Accelerating Stab."
"cmo1u7owq1rxf5uee2aqswthm","芳香精","0683","ability","J","在自己的回合時可使用1次。從自己的牌庫選擇最多2張「基本【超】能量」卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の番に1回使える。自分の山札から「基本エネルギー」を2枚まで選び、相手に見せて、手札に加える。そして山札を切る。","Once during your turn, you may use this Ability. Search your deck for up to 2 Basic {P} Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."
"cmo1u7o4y1qlm5uee0pnl645l","頑皮熊貓","0674","attack","I","這隻寶可夢也受到10點傷害。","このポケモンにも10ダメージ。","This Pokémon also does 10 damage to itself."
"cmp2dgb5a380o116c4ovfj8vv","願增猿","1015","ability","H","若這隻寶可夢身上附有【惡】能量卡，則在自己的回合時可使用1次。選擇最多3個自己的1隻場上寶可夢身上放置的傷害指示物，改放於對手的1隻場上寶可夢身上。","このポケモンにエネルギーがついているなら、自分の番に1回使える。自分の場のポケモン1匹にのっているダメカンを3個まで選び、相手の場のポケモン1匹にのせ替える。","Once during your turn, if this Pokémon has any {D} Energy attached, you may move up to 3 damage counters from 1 of your Pokémon to 1 of your opponent’s Pokémon."
"cmo1u85ad2jxf5ueefciyvxa2","差不多娃娃","0531","attack","H","從自己的棄牌區選擇1張支援者卡，在給對手看過後加入手牌。","自分のトラッシュからサポートを1枚選び、相手に見せて、手札に加える。","Put a Supporter card from your discard pile into your hand."
"cmo1u82192eeo5ueew8zr17l2","鑽角犀獸","0112","attack","H","擲1次硬幣若為正面，則選擇1個對手的戰鬥寶可夢身上附加的能量，將其丟棄。","コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。","Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
"cmo1u7ox11rxz5ueer878lz4f","土地雲","0645","attack","J","這個招式的傷害不計算抵抗力。 | 選擇1個這隻寶可夢身上附加的能量，放回手牌。","このワザのダメージは抵抗力を計算しない。 | このポケモンについているエネルギーを1個選び、手札にもどす。","This attack’s damage isn’t affected by Resistance. | Put an Energy attached to this Pokémon into your hand."
"cmobmw3vj1pt42pc75x46b4v4","伊裴爾塔爾","0717","attack","I","在下個對手的回合，受到這個招式的寶可夢無法撤退。","次の相手の番、このワザを受けたポケモンは、にげられない。","During your opponent’s next turn, the Defending Pokémon can’t retreat."
"cmobmw3wb1pud2pc74fhgjkkp","賽富豪","1000","attack","I","擲硬幣直到出現反面，從自己的牌庫任意選擇最多與正面出現的次數相同數量的卡，加入手牌。並且重洗牌庫。","ウラが出るまでコインを投げ、オモテの数ぶんまで、自分の山札から好きなカードを選び、手札に加える。そして山札を切る。","Flip a coin until you get tails. Search your deck for a number of cards up to the number of heads and put them into your hand. Then, shuffle your deck."
"cmp2dfz4f2r0u116cb0n2z71c","猛惡菇","","ability","G","若這隻寶可夢身上附有「驅勁能量 古代」，則在自己的回合時可使用1次。將雙方的戰鬥寶可夢【中毒】。","このポケモンに「ブーストエナジー 古代」がついているなら、自分の番に1回使える。おたがいのバトルポケモンを、それぞれどくにする。","Once during your turn, if this Pokémon has an Ancient Booster Energy Capsule attached, you may make both Active Pokémon Poisoned."
"cmo1u6wrl0fqk5ueej7tuvydb","鐵面忍者","0291","ability","D","在自己的回合，當從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫選擇1張「脫殼忍者」卡，放置於備戰區。並且重洗牌庫。","自分の番に、このカードを手札から出して進化させたとき、1回使える。自分の山札から「ヌケニン」を1枚選び、ベンチに出す。そして山札を切る。","When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may search your deck for a Shedinja and put it onto your Bench. Then, shuffle your deck."
"cmo1u8fj4327l5ueeowqa5f8d","桃歹郎ex","0978","ability","H","在自己的回合時可使用1次。選擇1隻自己的備戰區的【惡】寶可夢（「桃歹郎【ex】」除外），與戰鬥寶可夢互換。然後，將新的戰鬥寶可夢【中毒】。在這個回合，若已經使出了其他的「支配鎖鏈」，則這個特性無法使用。","自分の番に1回使える。自分のベンチのポケモン（「モモワロウex」をのぞく）を1匹選び、バトルポケモンと入れ替える。その後、新しいバトルポケモンをどくにする。この番、すでに別の「しはいのくさり」を使っていたなら、この特性は使えない。","Once during your turn, you may switch 1 of your Benched {D} Pokémon, except any Pecharunt {ex}, with your Active Pokémon. If you do, the new Active Pokémon is now Poisoned. You can’t use more than 1 Subjugating Chains Ability each turn."
"cmo1u7xe926gs5ueelh40h4j8","頭巾混混","0560","attack","I","擲與自己的場上【惡】寶可夢的數量相同次數的硬幣，造成正面出現的次數×60點傷害。","自分の場のポケモンの数ぶんコインを投げ、オモテの数×60ダメージ。","Flip a coin for each {D} Pokémon you have in play. This attack does 60 damage for each heads."
"cmo1u6xy50hqh5ueef7iwilef","修建老匠","0534","attack","E","在下個對手的回合，受到這個招式的進化寶可夢無法使用招式。","次の相手の番、このワザを受けた進化ポケモンは、ワザが使えない。","If the Defending Pokémon is an Evolution Pokémon, it can’t attack during your opponent’s next turn."
"cmo1u6y1c0hvu5ueeptu5b0e2","炎帝","0244","attack","E","造成自己備戰區所有「一擊」寶可夢身上放置的傷害指示物的數量×10點傷害。 | 這隻寶可夢也受到30點傷害。","自分のベンチの「いちげき」のポケモン全員にのっているダメカンの数×10ダメージ。 | このポケモンにも30ダメージ。","This attack does 10 damage for each damage counter on all of your Benched Single Strike Pokémon. | This Pokémon also does 30 damage to itself."
"cmobmwah720d82pc7uvnoavha","雪笠怪","0459","attack","E","從自己的牌庫選擇1張訓練家卡，在給對手看過後加入手牌。並且重洗牌庫。 | 在下個對手的回合，受到這個招式的寶可夢無法撤退。","",""
"cmp2xvkhs009k7ctowi078jbr","顫弦蠑螈ex","","attack","I","選擇2個這隻寶可夢身上附加的能量，將其丟棄。","このポケモンについているエネルギーを2個選び、トラッシュする。","Discard 2 Energy from this Pokémon."
"cmp2xqt2i1wix107822yt9s47","振翼髮","","ability","H","只要這隻寶可夢在戰鬥場上，對手的戰鬥寶可夢的特性（「暗夜羽擊」除外）全部消除。","",""
"cmp2xvki7009s7ctoe4yjqmmv","<火箭隊的>袋獸ex","","attack","I","擲4次硬幣，造成正面出現的次數×30點傷害。 | 在這個回合，若從手牌使出了名稱中有「火箭隊」的支援者卡，則增加100點傷害。","コインを4回投げ、オモテの数×30ダメージ。 | この番に、手札から、名前に「ロケット団」とつくサポートを出して使っていたなら、100ダメージ追加。","Flip 4 coins. This attack does 30 damage for each heads. | If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage."
"cmo1u6ycq0ifp5ueeldnso1j2","雷電斑馬","0523","attack","E","在上個自己的回合，若這隻寶可夢以外的「連擊」寶可夢使用了招式，則增加90點傷害。 | 擲硬幣直到出現反面，造成正面出現的次數×90點傷害。","前の自分の番、このポケモン以外の「れんげき」のポケモンがワザを使っていたなら、90ダメージ追加。 | ウラが出るまでコインを投げ、オモテの数×90ダメージ。","If 1 of your other Rapid Strike Pokémon used an attack during your last turn, this attack does 90 more damage. | Flip a coin until you get tails. This attack does 90 damage for each heads."
"cmo1u87ie2nwh5ueewd668uqz","妙蛙花ex","0003","ability","G","若這隻寶可夢在戰鬥場上，則在自己的回合時可使用1次。將自己的1隻寶可夢恢復「60」HP。","このポケモンがバトル場にいるなら、自分の番に1回使える。自分のポケモン1匹のHPを「60」回復する。","Once during your turn, if this Pokémon is in the Active Spot, you may heal 60 damage from 1 of your Pokémon."
"cmp2dg1xe2uyx116cz7tugwmt","<小霞的>可達鴨","","ability","I","若這隻寶可夢在備戰區，則在自己的回合時可使用1次。將自己的牌庫下方1張卡丟棄。然後，將這隻寶可夢身上附加的卡全部丟棄，將這隻寶可夢放回牌庫上方。","このポケモンがベンチにいるなら、自分の番に1回使える。自分の山札を下から1枚トラッシュする。その後、このポケモンについているカードをすべてトラッシュし、このポケモンを山札の上にもどす。","Once during your turn, if this Pokémon is on your Bench, you may discard the bottom card of your deck. If you do, discard all cards from this Pokémon and put this Pokémon on top of your deck."
"cmo1u6y170hvm5ueeg8nexo3i","水伊布V","0134","attack","E","從自己的牌庫抽出3張卡。 | 將這隻寶可夢與備戰寶可夢互換。 | 寶可夢【V】【氣絕】時，對手獲得2張獎賞卡。","自分の山札を3枚引く。 | このポケモンをベンチポケモンと入れ替える。",""
"cmo1u6yes0ija5ueetjh5cgi5","狡猾天狗","0275","attack","E","將身上放置有傷害指示物的對手的戰鬥寶可夢與附加的卡，全部放回對手的手牌。 | 在不看正面的情況下，選擇1張對手的手牌，將其丟棄。","ダメカンがのっている相手のバトルポケモンと、ついているすべてのカードを、相手の手札にもどす。 | 相手の手札からオモテを見ないで1枚選び、トラッシュする。","If your opponent’s Active Pokémon has any damage counters on it, put it and all attached cards into your opponent’s hand. | Discard a random card from your opponent’s hand."
"cmo1u6yc00ieh5ueev2twprvj","瑪狃拉","0461","attack","E","在下個自己的回合，受到這個招式的寶可夢若受到「連擊」寶可夢招式的傷害，會【氣絕】。 | 從自己的牌庫任意選擇最多2張卡加入手牌。並且重洗牌庫。","次の自分の番、このワザを受けたポケモンは、「れんげき」のポケモンからワザのダメージを受けたらきぜつする。 | 自分の山札から好きなカードを2枚まで選び、手札に加える。そして山札を切る。","During your next turn, if the Defending Pokémon is damaged by an attack from a Rapid Strike Pokémon, it will be Knocked Out. | Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck."
"cmo1u6v820d1e5uee9n7be2r6","伽勒爾 火焰鳥","0146","ability","E","在自己的回合，當從手牌將這張卡放置於備戰區時，可使用1次。從自己的手牌選擇最多2張【惡】能量卡，附於這隻寶可夢身上。","自分の番に、このカードを手札からベンチに出したとき、1回使える。自分の手札からエネルギーを2枚まで選び、このポケモンにつける。","When you play this Pokémon from your hand onto your Bench during your turn, you may attach up to 2 {D} Energy cards from your hand to this Pokémon."
"cmo1u6yjb0ir35uee1j8gaxst","三首惡龍","0635","attack","E","增加上個對手的回合對手獲得的獎賞卡的張數×100點傷害。","前の相手の番に、相手がとったサイドの枚数×100ダメージ追加。","This attack does 100 more damage for each Prize card your opponent took during their last turn."
"cmo1u7osr1rqx5ueed9hsh0qp","美洛耶塔","0719","attack","I","將最多2張這隻寶可夢身上附加的能量卡丟棄，造成其張數×120點傷害。","このポケモンについているエネルギーを2枚までトラッシュし、その枚数×120ダメージ。",""
"cmo1u80mv2c1w5ueefrjb8mnb","岩殿居蟹","0558","attack","G","在下個對手的回合，這隻寶可夢受到進化寶可夢招式的傷害「-100」點。","次の相手の番、このポケモンが進化ポケモンから受けるワザのダメージは「-100」される。","During your opponent’s next turn, this Pokémon takes 100 less damage from attacks from Evolution Pokémon (after applying Weakness and Resistance)."
"cmo1u7pes1ssg5ueea6w8rixc","蘑蘑菇","0285","attack","H","擲2次硬幣，造成正面出現的次數×10點傷害。","コインを2回投げ、オモテの数×10ダメージ。","Flip 2 coins. This attack does 10 damage for each heads."
"cmo1u6yp30j155uee6ly4jldo","豐蜜龍","0842","attack","E","造成對手的場上寶可夢身上附加的特殊能量卡的張數×70點傷害。 | 若對手的戰鬥寶可夢為「寶可夢【V】」，則增加80點傷害。","相手の場のポケモンについている特殊エネルギーの枚数×70ダメージ。 | 相手のバトルポケモンが「ポケモンV」なら、80ダメージ追加。","This attack does 70 damage for each Special Energy card attached to your opponent’s Pokémon. | If your opponent’s Active Pokémon is a Pokémon {V}, this attack does 80 more damage."
"cmo1u7o661qnq5ueeoxxwo4ml","N的索羅亞克ex","0571","ability","I","在自己的回合，若將自己的1張手牌丟棄，則可使用1次。從自己的牌庫抽出2張卡。","自分の番に、自分の手札を1枚トラッシュするなら、1回使える。自分の山札を2枚引く。","You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards. | Choose 1 of your Benched N’s Pokémon’s attacks and use it as this attack."
"cmo1u7pi81syd5ueer4u38oai","來悲粗茶ex","1013","attack","H","在給對手看過自己的棄牌區的所有「基本【草】能量」卡後，將與其張數×2個的相同數量的傷害指示物，放置於對手的1隻寶可夢身上。然後，將給對手看過的能量卡放回牌庫並重洗。 | 將自己的所有寶可夢各恢復「30」HP。","自分のトラッシュにある「基本エネルギー」をすべて相手に見せ、その枚数×2個ぶんのダメカンを、相手のポケモン1匹にのせる。その後、見せたエネルギーを山札にもどして切る。 | 自分のポケモン全員のHPを、それぞれ「30」回復する。","Heal 30 damage from each of your Pokémon."
"cmo1u7pou1t9r5ueew9p0xr4y","吼鯨王","0321","attack","I","增加這隻寶可夢身上附加的【水】能量的數量×50點傷害。","このポケモンについているエネルギーの数×50ダメージ追加。","This attack does 50 more damage for each {W} Energy attached to this Pokémon."
"cmo1u6wu60fv15ueer7cioqcc","雷伊布","0135","ability","D","若這隻寶可夢身上附有「回憶膠囊」，則雙方的場上【水】寶可夢的特性全部消除。","このポケモンに「メモリーカプセル」がついているなら、おたがいの場のポケモンの特性は、すべてなくなる。","If this Pokémon has a Memory Capsule attached, {W} Pokémon in play (both yours and your opponent’s) have no Abilities."
"cmp2dfx6m2ock116c8msse0m2","風速狗ex","","attack","G","只要這隻寶可夢在備戰區，不會受到招式的傷害。 | 增加這隻寶可夢身上放置的傷害指示物的數量×10點傷害。 | 選擇2個這隻寶可夢身上附加的【火】能量，將其丟棄。 | 寶可夢【ex】【昏厥】時，對手獲得2張獎賞卡。","このポケモンにのっているダメカンの数×10ダメージ追加。 | このポケモンについているエネルギーを2個選び、トラッシュする。","This attack does 10 more damage for each damage counter on this Pokémon. | Discard 2 {R} Energy from this Pokémon."
"cmo1u7pan1slb5ueenn43a0l5","謎擬Q","0778","attack","I","將最多2張這隻寶可夢身上附加的能量卡丟棄，造成其張數×120點傷害。","自分の山札からたねポケモンを1枚選び、ベンチに出す。そして山札を切る。","Discard up to 2 Energy cards from this Pokémon, and this attack does 120 damage for each card you discarded in this way."
"cmo1u6y6y0i5n5ueecpushsav","閃焰王牌","0815","attack","E","將對手的戰鬥寶可夢【中毒】。","次の自分の番、このポケモンはワザが使えない。",""
"cmobmw48d1qdw2pc7ilevlp2p","天然鳥","0947","ability","G","在自己的回合時可使用1次。從自己的手牌選擇1張「基本【超】能量」卡，附於備戰寶可夢身上。然後，從自己的牌庫抽出2張卡。","自分の番に1回使える。自分の手札から「基本エネルギー」を1枚選び、ベンチポケモンにつける。その後、自分の山札を2枚引く。","Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Make your opponent’s Active Pokémon Confused."
"cmo1u7pmw1t6f5ueem7z2gyco","破空焰ex","1020","attack","H","若使用了這個招式，則這隻寶可夢離開戰鬥場前無法使用「烈火爆進」。","このワザを使ったなら、このポケモンは、バトル場をはなれるまで「れっかばくしん」が使えない。","This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot."
